0	F	?	-1
0	E0	?	0
0	E1	?	0
0	E2	?	0
104	F	-1	0
104	E0	0	1
105	X0	?	0
105	Y0	?	-1
105	S0	?	1
105	M0	?	1
108	X0	0	1
109	Y0	-1	0
109	S0	1	0
115	E1	0	1
115	R0,1	?	1
115	T0,1	?	0
115	W0,1	?	0
115	C0,1	?	0
120	R0,1	1	-1
122	F	0	1
122	R0,1	-1	0
123	X1	?	0
123	Y1	?	0
123	S1	?	0
123	M1	?	0
123	R0,1	0	-1
124	X1	0	-1
124	M1	0	1
125	S1	0	1
126	Y1	0	1
126	C0,1	0	1
127	S1	1	0
127	W0,1	0	1
130	X1	-1	0
130	W0,1	1	0
132	Y1	1	0
132	M1	1	0
135	R0,1	-1	0
137	Y1	0	-1
137	M1	0	1
137	W0,1	0	1
141	W0,1	1	0
143	Y1	-1	0
143	M1	1	0
162	F	1	0
162	X0	1	0
162	M0	1	0
