0	F	?	1
0	E0	?	0
0	E1	?	1
0	E2	?	0
1	X1	?	0
1	Y1	?	0
1	S1	?	0
1	M1	?	0
115	E0	0	1
115	R0,1	?	1
115	T0,1	?	2
115	W0,1	?	0
115	C0,1	?	0
116	F	1	0
116	R0,1	1	0
117	X0	?	0
117	Y0	?	0
117	S0	?	0
117	M0	?	0
118	S0	0	1
119	R0,1	0	-1
120	X0	0	-1
120	M0	0	1
122	S0	1	0
124	C0,1	0	1
128	F	0	1
128	R0,1	-1	0
135	F	1	0
135	X0	-1	0
135	M0	1	0
149	W0,1	0	1
150	F	0	1
150	W0,1	1	0
166	F	1	0
166	W0,1	0	1
167	W0,1	1	0
168	W0,1	0	1
170	F	0	1
170	W0,1	1	0
172	F	1	0
172	W0,1	0	1
173	W0,1	1	0
174	S0	0	1
174	W0,1	0	1
175	F	0	1
175	W0,1	1	0
178	F	1	0
178	S0	1	0
